id,created_at,lignes,colonnes,couleur_depart,joueur_courant,statut,resultat,confiance,coups,coups_sym,coups_can
17390,2026-03-14 17:28:07.399227,9,9,1,2,finished,jaune,2,5655664432456556685442462265228997,5455446678654554425668648845882113,5455446678654554425668648845882113
18909,2026-03-14 20:44:03.054802,9,9,1,1,finished,rouge,2,6457577655657757757553299979999222229221119111211183333333366666644,4653533455453353353557811131111888881889991999899927777777744444466,4653533455453353353557811131111888881889991999899927777777744444466
17392,2026-03-14 17:28:07.604191,9,9,1,1,finished,rouge,2,51465455662363233467798843422455665735862888522333299261111188899999944411177,59645655448747877643312267688655445375248222588777811849999922211111166699933,51465455662363233467798843422455665735862888522333299261111188899999944411177
17393,2026-03-14 17:28:07.718471,9,9,1,1,finished,rouge,2,554662576658956655622655887978877777276288282229998919991111111133443,556448534452154455488455223132233333834822828881112191119999999977667,554662576658956655622655887978877777276288282229998919991111111133443
22261,2026-03-14 21:07:48.004937,9,9,1,1,finished,rouge,2,99767766799667677693555769967411311333311334414,11343344311443433417555341143699799777799776696,11343344311443433417555341143699799777799776696
17395,2026-03-14 17:28:08.148824,9,9,1,1,finished,rouge,2,77655676697769667799373693393996332722222922184,33455434413341443311737417717114778388888188926,33455434413341443311737417717114778388888188926
17396,2026-03-14 17:28:08.266850,9,9,1,1,finished,rouge,2,6375296957565539967667577629223339935365221652273771321111111899444,4735814153545571143443533481887771175745889458837339789999999211666,4735814153545571143443533481887771175745889458837339789999999211666
17397,2026-03-14 17:28:08.289934,9,9,1,1,finished,rouge,2,2954554422247577826,8156556688863533284,2954554422247577826
17398,2026-03-14 17:28:08.293116,9,9,1,2,finished,jaune,2,165565433445544854554411118114889599889889899191922222222233337736,945545677665566256556699992996221511221221211919188888888877773374,165565433445544854554411118114889599889889899191922222222233337736
18969,2026-03-14 20:44:13.666835,9,9,1,2,finished,jaune,2,222445655436665544224625455466226888886888854772199999993717,888665455674445566886485655644884222224222256338911111117393,222445655436665544224625455466226888886888854772199999993717
17400,2026-03-14 17:28:08.667133,9,9,1,2,finished,jaune,2,154345544533334144557554119877777799459988888899782117812122123232,956765566577776966553556991233333311651122222211328993298988987878,154345544533334144557554119877777799459988888899782117812122123232
19022,2026-03-14 20:44:23.957458,9,9,1,1,finished,rouge,2,38754254456476656552422664633335665522434477898888888111333222919,72356856654634454558688446477775445588676633212222222999777888191,38754254456476656552422664633335665522434477898888888111333222919
17403,2026-03-14 17:28:09.159908,9,9,1,1,finished,rouge,2,573445543334473344377743111668941191196666696673777999911229222222288,537665567776637766733367999442169919914444414437333111199881888888822,537665567776637766733367999442169919914444414437333111199881888888822
19042,2026-03-14 20:44:27.202815,9,9,1,1,finished,rouge,2,2753353322261127677668923362667377999223369799911111116795555555488,8357757788849983433442187748443733111887741311199999994315555555622,2753353322261127677668923362667377999223369799911111116795555555488
17405,2026-03-14 17:28:09.299288,9,9,1,2,finished,jaune,2,756856654566588886655886556823344422222244477742412118113373,354254456544522224455224554287766688888866633368698992997737,354254456544522224455224554287766688888866633368698992997737
22438,2026-03-14 21:08:24.466684,9,9,1,2,finished,jaune,2,97667765876679679967667997999344334344344424335332555512,13443345234431431143443113111766776766766686775778555598,13443345234431431143443113111766776766766686775778555598
22524,2026-03-14 21:08:42.217934,9,9,1,1,finished,rouge,2,87245547547887887587448555457488544773332233333399999999922222266,23865563563223223523662555653622566337778877777711111111188888844,23865563563223223523662555653622566337778877777711111111188888844
22599,2026-03-14 21:08:56.433415,9,9,1,1,finished,rouge,2,916766779997464774646644722117644111395,194344331113646336464466388993466999715,194344331113646336464466388993466999715
27992,2026-03-14 21:22:44.410985,9,9,1,1,finished,rouge,2,84265566556444452252442255422485888288997877796,26845544554666658858668855688625222822113233314,26845544554666658858668855688625222822113233314
24195,2026-03-14 21:14:11.269461,9,9,1,2,finished,jaune,2,2674334467433667764377647668733544433679111111111888888889999999922222,8436776643677443346733463442377566677431999999999222222221111111188888,2674334467433667764377647668733544433679111111111888888889999999922222
17410,2026-03-14 17:28:09.769839,9,9,1,1,finished,rouge,2,4853536767667755363355656653335222288,6257574343443355747755454457775888822,4853536767667755363355656653335222288
17411,2026-03-14 17:28:10.014243,9,9,1,2,finished,jaune,2,6565567473242244533435334227777557988988875888343445783199919996,4545543637868866577675776883333553122122235222767665327911191114,4545543637868866577675776883333553122122235222767665327911191114
17412,2026-03-14 17:28:10.350948,9,9,1,1,finished,rouge,2,3652556356366559336653353395166929222292991191229411474,7458554754744551774457757715944181888818119919881699636,3652556356366559336653353395166929222292991191229411474
21547,2026-03-14 21:05:17.412180,9,9,1,2,finished,jaune,2,935799733577555773357557331391991166666669936651111179822244,175311377533555337753553779719119944444441174459999931288866,175311377533555337753553779719119944444441174459999931288866
17414,2026-03-14 17:28:10.451061,9,9,1,2,finished,jaune,2,2433456655644535544154554497999777779777999111191111888886,8677654455466575566956556613111333331333111999919999222224,2433456655644535544154554497999777779777999111191111888886
30212,2026-03-14 21:28:02.470923,9,9,1,2,finished,jaune,2,427554524224256544524155224111294597777899991117779991178333,683556586886854566586955886999816513333211119993331119932777,427554524224256544524155224111294597777899991117779991178333
17416,2026-03-14 17:28:10.632322,9,9,1,2,finished,jaune,2,3454554453333447334438988899799889889943892111121121222112227777777656,7656556657777663776672122211311221221167218999989989888998883333333454,3454554453333447334438988899799889889943892111121121222112227777777656
37942,2026-03-14 22:02:51.365663,9,9,1,2,finished,jaune,2,36375986243344525544665522334466655343342226888887787756881179777111111199,74735124867766585566445588776644455767768884222223323354229931333999999911,36375986243344525544665522334466655343342226888887787756881179777111111199
17418,2026-03-14 17:28:10.916615,9,9,1,2,finished,jaune,2,3375533566654298325222335522315144,7735577544456812785888775588795966,3375533566654298325222335522315144
17419,2026-03-14 17:28:11.125890,9,9,1,1,finished,nul,2,434334525554766764455333545544777776773332112222229899999999288881111111888866666,676776585556344346655777565566333334337778998888881211111111822229999999222244444,434334525554766764455333545544777776773332112222229899999999288881111111888866666
17420,2026-03-14 17:28:11.200456,9,9,1,2,finished,jaune,2,565566443245655668544264422255468927,545544667865455442566846688855642183,545544667865455442566846688855642183
17421,2026-03-14 17:28:11.335450,9,9,1,1,finished,rouge,2,9113433443141137474374377977934114397996658556688668888788999112262,1997677667969973636736733133176996713114452554422442222322111998848,1997677667969973636736733133176996713114452554422442222322111998848
18366,2026-03-14 20:42:21.588038,9,9,1,1,finished,rouge,2,766765767437664753524,344345343673446357586,344345343673446357586
17423,2026-03-14 17:28:11.578049,9,9,1,1,finished,rouge,2,7356655664554675655662133344444777463333541111118888888883799991199999222,3754455446556435455448977766666333647777569999992222222227311119911111888,3754455446556435455448977766666333647777569999992222222227311119911111888
